covariate,coef,exp(coef),p
rap_mean_3h,-3.841494624181384,0.0214615004841119,0.0010115816995412584
icp_mean_3h,0.06440251828911805,1.0665216068261494,0.17477836833325047
cpp_mean_3h,0.03999392412596607,1.0408044503764424,0.08446064781379352
map_mean_3h,-0.03134040230469995,0.9691456175186027,0.28638768951684923
amp_mean_3h,-0.02473120003936956,0.9755721105321834,0.8975687962352369
age_group_30-39,0.4580853961123127,1.5810440123087517,0.4640701607508896
age_group_40-49,0.6468957623040313,1.9096037547767435,0.15621120787005197
age_group_50-59,0.5600212005285404,1.750709615871842,0.4134121591417964
age_group_60-69,0.313951562424554,1.3688234324533022,0.5845695273245881
age_group_70+,1.7514179271753592,5.762768071123195,0.005435660162878712
sex_group_Male,0.6856496797308239,1.9850610706388976,0.12488600458995817
